id_nspn,date_homework,event,ppq_01_quality_time,ppq_02_attend_school,ppq_03_affection,ppq_04_get_me,ppq_05_comforted,ppq_06_angry_listen,ppq_07_praised,ppq_08_ideas_encouraged,ppq_09_priority,ppq_10_loved,ppq_11_listened_to,ppq_12_contact,ppq_13_home_safe,ppq_14_opinions_valued,ppq_15_talked_important,ppq_16_privacy_respected,ppq_17_friends_welcomed,ppq_18_clothes,ppq_19_pocket_money,ppq_20_ask,ppq_21_achieve,ppq_22_cared_unwell,ppq_23_skills,ppq_24_advice,ppq_25_learn_school,ppq_26_progress,ppq_positive_parenti_v_16
10124,06/12/2012,Home Questionnaire Pack 1,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10132,03/12/2012,Home Questionnaire Pack 1,Mostly,Mostly,Mostly,Sometimes,Mostly,Mostly,Mostly,Mostly,Mostly,Always,Mostly,Mostly,Always,Mostly,Mostly,Sometimes,Sometimes,Always,Mostly,Mostly,Mostly,Always,Mostly,Mostly,Mostly,Mostly,Complete
10132,14/12/2013,Home Questionnaire Pack 2,Sometimes,Sometimes,Sometimes,Mostly,Sometimes,Mostly,Mostly,Mostly,Rarely,Mostly,Sometimes,Always,Rarely,Rarely,Rarely,Always,Sometimes,Mostly,Always,Mostly,Mostly,Sometimes,Mostly,.a,Rarely,Sometimes,Complete
10140,27/11/2012,Home Questionnaire Pack 1,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10140,14/12/2013,Home Questionnaire Pack 2,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10140,11/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158,24/11/2012,Home Questionnaire Pack 1,Mostly,Rarely,Always,Sometimes,Always,Mostly,Sometimes,Mostly,Always,Always,Always,Always,Always,Always,Always,Rarely,Mostly,Always,Rarely,Sometimes,Sometimes,Always,Mostly,Always,Rarely,Rarely,Complete
10158,24/08/2014,Home Questionnaire Pack 2,Mostly,Always,Always,Always,Always,Always,Always,Always,Mostly,Always,Always,Always,Always,Always,Always,Mostly,Always,Always,Always,Always,Mostly,Always,Always,Always,Mostly,Mostly,Complete
10158,13/09/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10174,30/11/2012,Home Questionnaire Pack 1,Sometimes,Always,Always,Mostly,Mostly,Mostly,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Mostly,Always,Always,Always,Always,Always,Always,Complete
